,lv,mv,ward,county,area_type
155,21.94924639,3.015110064,Karai,Kiambu,Urban
156,46.55188095,8.922954456,Bomwagamo,Nyamira,Non-NR
157,45.47159617,14.63911359,Kithimani,Machakos,Non-NR
158,16.08708941,0,Township,Garissa,Urban
159,27.5732419,5.244514301,Banissa,Mandera,Urban
160,44.58836038,9.74116003,Mukuyuni,Bungoma,Non-NR
161,37.45478472,62.49990948,Kalokol,Turkana,NR
162,63.59960527,33.33974538,Buramwatate,Taitataveta,SR
163,29.17337873,4.781820703,Karen,Nairobi,Urban
164,16.37755153,0.418660246,Lowersavannah,Nairobi,Urban
165,65.02216854,1150.484433,Lagsure,Mandera,SR
166,88.43924768,35.27928909,Muvaukikuumini,Makueni,SR
167,58.53681551,26.74409432,Sambirir,Elgeyomarakwet,Non-NR
168,20.50845234,2.795229246,Kasarani,Nairobi,Urban
169,43.90345466,10.00584106,Kangundoeast,Machakos,Non-NR
170,55.9601268,19.25473955,Sangalokebulonik,Nandi,Non-NR
171,39.46273573,145.0362322,Gurar,Wajir,SR
172,27.03081511,4.39496414,Ahero,Kisumu,Urban
173,51.10954769,11.7368639,Northseme,Kisumu,Non-NR
174,37.0956094,7.295634358,Central,Homabay,Urban
175,34.41647157,9.147922038,Kanyenyaini,Murang'A,Urban
176,31.76211289,5.00688195,Magenche,Kisii,Urban
177,24.56114733,4.890963275,Githiga,Kiambu,Urban
178,57.80834329,21.29386568,Muthwani,Machakos,Non-NR
179,23.5400198,4.51186671,Nyadhuna,Kiambu,Urban
180,81.03884821,144.9770935,Ribkwo,Baringo,SR
181,41.55565347,9.472883216,Chemagel,Bureti,Non-NR
182,29.06932646,98.96088979,Logologo,Marsabit,NR
183,29.20987016,7.757111235,Gatanga,Murang'A,Urban
184,82.87782453,45.11364017,Chuluni,Kitui,SR
185,39.90640389,305.7829017,Lakoleysouthbasir,Wajir,SR
186,52.93160695,17.61919848,Kipsomba,Uasingishu,Non-NR
187,22.00097918,8.212485142,Mikinduni,Tanariver,Urban
188,55.7479561,34.4139503,Arror,Elgeyomarakwet,SR
189,28.72738402,13.30349795,Bunyalasouth,Busia,Urban
190,30.74895722,7.511198341,Kiru,Murang'A,Urban
